mine_id,injury_body_part,injury_classification,injury_count,injury_days_lost,injury_nature,injury_source
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Shoulder(s),Days away from work only,1,150,"Sprain, strains",Metal covers and guards
100851,Hand/Wrist,Days away from work only,1,6,"Contusion, bruise",Belt conveyors
100851,Unclassified/Multiple,Days away from work only,1,340,"Contusion, bruise","Underground narrow gauge rail cars, motors, etc."
100851,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,39,"Sprain, strains","Mine floor, bottom, footwall"
100851,Neck/Head/Face,Days away from work only,1,5,"Contusion, bruise","Nonpowered vehicles (dollies, wheelbarrow, etc.)"
100851,Shoulder(s),Days away from work only,1,6,"Sprain, strains",Acids and alkalies
100851,Shoulder/Arm/Hand,Days away from work only,1,2,"Contusion, bruise","Metal NEC (pipe, wire, nails, manhole covers)"
100851,Hand/Wrist,Days away from work only,1,4,"Sprain, strains",Doors
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Back/Torso,Days away from work only,1,33,"Sprain, strains",Boilers
100851,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,66,"Sprain, strains","Mine jeep, kersey, jitney (rail & nonrail), S&S tractor"
100851,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,33,"Sprain, strains","Broken rock, coal, ore, waste"
100851,Back/Torso,Days away from work only,1,5,"Sprain, strains",Roof bolts
100851,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,194,"Fracture, chip","Metal NEC (pipe, wire, nails, manhole covers)"
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Shoulder(s),Days away from work only,1,13,"Sprain, strains",Roof bolts
100851,Finger(s),Days away from work only,1,46,"Cut, laceration, puncture",Underground mining machines
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Neck/Head/Face,Days away from work only,1,6,"Sprain, strains","Metal NEC (pipe, wire, nails, manhole covers)"
100851,Back/Torso,Days away from work only,1,18,"Contusion, bruise",Metal covers and guards
100851,Back/Torso,Days away from work only,1,8,"Sprain, strains","Mine floor, bottom, footwall"
100851,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,23,"Sprain, strains","Broken rock, coal, ore, waste"
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Hips/Legs/Feet,Days away from work only,1,73,"Sprain, strains","Metal NEC (pipe, wire, nails, manhole covers)"
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Neck/Head/Face/Head/Face,Days away from work only,1,6,Unclassified,"Conductors, electric cables and trolley poles"
100851,Finger(s),Days away from work only,1,142,Crushing,Doors
100851,Hips/Legs/Feet,Days away from work only,1,4,"Contusion, bruise","Drums, pulleys, sheaves (not conveyor)"
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Shoulder(s),Days away from work only,1,191,"Sprain, strains",Metal covers and guards
100851,Back/Torso,Days away from work only,1,6,"Sprain, strains","Metal NEC (pipe, wire, nails, manhole covers)"
100851,"Trunk, multiple",Days away from work only,1,231,"Fracture, chip",Underground mining machines
100851,Hand/Wrist,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Steel rail (all sizes)
100851,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Caving rock, coal, ore, waste"
100851,Wrist,"Injuries w/o death, days away, or restrict. act.",1,0,"Sprain, strains","Mine floor, bottom, footwall"
100851,Hand/Wrist,Days away from work only,1,9,"Contusion, bruise",Metal covers and guards
100851,Finger(s),Days away from work only,1,55,"Fracture, chip",Drill steel (all kinds)
100851,Finger(s),Days away from work only,1,56,"Fracture, chip",Metal covers and guards
100851,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,20,"Sprain, strains","Mine floor, bottom, footwall"
100851,Foot (not ankle or toes),Days away from work only,1,23,"Contusion, bruise",Metal covers and guards
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Neck/Head/Face,Days away from work only,1,179,"Sprain, strains","Caving rock, coal, ore, waste"
100851,Hips/Legs/Feet,Days away from work only,1,38,"Sprain, strains",Bags
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Finger(s),Days away from work only,1,51,"Cut, laceration, puncture","Caving rock, coal, ore, waste"
100851,Back/Torso,Days away from work only,1,6,"Sprain, strains","Cement products, concrete blocks, dry grout, etc."
100851,Finger(s),Days away from work only,1,36,"Cut, laceration, puncture","Crowbar, pry bar"
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Unclassified/Multiple,Days away from work only,1,146,"Scratches, abrasions (superficial wounds)","Mine floor, bottom, footwall"
100851,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
100851,Finger(s),Days away from work only,1,13,"Cut, laceration, puncture",Underground mining machines
101247,Finger(s),Days away from work only,1,165,"Cut, laceration, puncture","Axe, hammer, sledge"
101247,Hips/Legs/Feet,Days away from work only,1,48,"Contusion, bruise",Steps
101247,Back/Torso,Days away from work only,1,13,"Contusion, bruise","Caving rock, coal, ore, waste"
101247,Neck/Head/Face,Days away from work only,1,7,"Sprain, strains","Mine jeep, kersey, jitney (rail & nonrail), S&S tractor"
101247,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101247,Shoulder/Arm/Hand,Days away from work only,1,32,"Sprain, strains",Metal covers and guards
101247,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101247,Hand/Wrist,Days away from work only,1,5,"Sprain, strains",Mechanical power transmission apparatus NEC
101247,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,57,"Contusion, bruise",Belt conveyors
101247,Shoulder/Arm/Hand,Days away from work only,1,205,"Fracture, chip",Metal covers and guards
101247,Finger(s),Days away from work only,1,26,"Fracture, chip","Crowbar, pry bar"
101247,Shoulder/Arm/Hand,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Steel rail (all sizes)
101247,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Fracture, chip",Boilers
101247,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,77,"Sprain, strains","Mine floor, bottom, footwall"
101247,Finger(s),Days away from work only,1,24,"Cut, laceration, puncture",Belt conveyors
101247,Foot (not ankle or toes),Days away from work only,1,8,"Contusion, bruise","Broken rock, coal, ore, waste"
101247,Back/Torso,Days away from work only,1,155,"Fracture, chip",Boilers
101247,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101247,Finger(s),Days away from work only,1,72,"Fracture, chip",Metal covers and guards
101247,Hips/Legs/Feet/Legs/Feet,"Injuries w/o death, days away, or restrict. act.",1,0,Multiple injuries,"Caving rock, coal, ore, waste"
101247,Finger(s),Days away from work only,1,21,"Cut, laceration, puncture","Axe, hammer, sledge"
101247,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
101247,Finger(s),Days away from work only,1,32,"Fracture, chip",Metal covers and guards
101247,Neck/Head/Face,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
101247,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101247,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101247,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101247,Neck/Head/Face,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
101247,Finger(s),Days away from work only,1,23,"Fracture, chip",Underground mining machines
101247,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Metal covers and guards
101401,Shoulder/Arm/Hand,Days away from work only,1,108,"Fracture, chip","Mine floor, bottom, footwall"
101401,Neck/Head/Face/Head/Face,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Longwall supports (chocks and blocks)
101401,Finger(s),Days away from work only,1,4,"Cut, laceration, puncture","Broken rock, coal, ore, waste"
101401,Foot (not ankle or toes),Days away from work only,1,3,"Contusion, bruise","Caving rock, coal, ore, waste"
101401,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
101401,Shoulder(s),Days away from work only,1,120,"Sprain, strains","Crowbar, pry bar"
101401,Hand/Wrist,Days away from work only,1,205,"Fracture, chip","Mine floor, bottom, footwall"
101401,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101401,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Fracture, chip",Drill steel (all kinds)
101401,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,72,"Fracture, chip",Metal covers and guards
101401,Neck/Head/Face,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Hand tools not powered NEC
101401,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101401,Neck/Head/Face,"Injuries w/o death, days away, or restrict. act.",1,0,"Fracture, chip","Metal NEC (pipe, wire, nails, manhole covers)"
101401,Hand/Wrist,Days away from work only,1,8,"Contusion, bruise","Caving rock, coal, ore, waste"
101401,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
101401,Back/Torso,Days away from work only,1,108,"Contusion, bruise","Mine jeep, kersey, jitney (rail & nonrail), S&S tractor"
101401,Hips/Legs/Feet,Days away from work only,1,266,"Fracture, chip","Mine jeep, kersey, jitney (rail & nonrail), S&S tractor"
101401,Hand/Wrist,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Roof bolts
101401,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Belt conveyors
101401,Eye(s) (inc. optic nerve & vision),Days away from work only,1,2,Dust in eyes,Pulverized mineral
101401,Ear(s) external,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Metal covers and guards
101401,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,132,"Sprain, strains","Broken rock, coal, ore, waste"
101401,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Roof bolts
101401,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,13,"Cut, laceration, puncture","Mine jeep, kersey, jitney (rail & nonrail), S&S tractor"
101401,Foot (not ankle or toes),Days away from work only,1,30,"Cut, laceration, puncture","Caving rock, coal, ore, waste"
101401,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,41,"Sprain, strains",Bodily motion
101401,Neck/Head/Face,Days away from work only,1,24,"Fracture, chip","Caving rock, coal, ore, waste"
101401,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,224,"Sprain, strains","Mine floor, bottom, footwall"
101401,Neck/Head/Face,Days away from work only,1,81,"Fracture, chip","Caving rock, coal, ore, waste"
101401,Shoulder(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Fracture, chip","Conductors, electric cables and trolley poles"
101401,Finger(s),Days away from work only,1,50,"Fracture, chip","Metal NEC (pipe, wire, nails, manhole covers)"
101401,Hand/Wrist,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Caving rock, coal, ore, waste"
101401,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Metal covers and guards
101401,Shoulder(s),Days away from work only,1,102,"Sprain, strains","Mine floor, bottom, footwall"
101401,Back/Torso,Days away from work only,1,104,"Fracture, chip","Miscellaneous, NEC"
101401,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,169,"Fracture, chip",Jacks (not longwall)
101401,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,35,"Fracture, chip","Broken rock, coal, ore, waste"
101401,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Fracture, chip",Metal covers and guards
101401,Hips/Legs/Feet,Days away from work only,1,34,"Sprain, strains","Metal NEC (pipe, wire, nails, manhole covers)"
101401,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
102901,Back/Torso,Days away from work only,1,2,"Fracture, chip","Posts, caps, headers, timber"
102901,Finger(s),"Permanent disability, partial or total",1,55,Amputation or enucleation,Underground mining machines
102901,Hand/Wrist,Days away from work only,1,19,"Cut, laceration, puncture","Broken rock, coal, ore, waste"
102901,Hand/Wrist,Days away from work only,1,4,"Contusion, bruise","Crowbar, pry bar"
102901,Back/Torso,Days away from work only,1,75,"Sprain, strains","Mine floor, bottom, footwall"
102901,Eye(s) (inc. optic nerve & vision),Days away from work only,1,4,"Scratches, abrasions (superficial wounds)","Caving rock, coal, ore, waste"
102901,Finger(s),Days away from work only,1,1,"Cut, laceration, puncture",Doors
102901,Neck/Head/Face,Days away from work only,1,5,"Sprain, strains","Mine jeep, kersey, jitney (rail & nonrail), S&S tractor"
102901,Eye(s) (inc. optic nerve & vision),Days away from work only,1,7,"Scratches, abrasions (superficial wounds)",Loose dirt & mud
102901,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,117,"Sprain, strains","Caving rock, coal, ore, waste"
102901,Back/Torso,Days away from work only,1,75,"Sprain, strains",Roof bolts
102901,Hand/Wrist,Days away from work only,1,23,"Sprain, strains","Mine floor, bottom, footwall"
102901,Shoulder/Arm/Hand,Days away from work only,1,28,Burn or scald (heat),Coal & petroleum products NEC
102901,Shoulder/Arm/Hand,Days away from work only,1,6,"Contusion, bruise","Metal NEC (pipe, wire, nails, manhole covers)"
102901,Foot (not ankle or toes),Days away from work only,1,3,"Contusion, bruise","Metal NEC (pipe, wire, nails, manhole covers)"
102901,Back/Torso,Days away from work only,1,2,"Contusion, bruise",Passenger cars and pickup trucks
102901,Finger(s),Days away from work only,1,15,"Fracture, chip",Metal covers and guards
102901,Foot (not ankle or toes),"Injuries w/o death, days away, or restrict. act.",1,0,"Contusion, bruise",Belt conveyors
102901,Shoulder/Arm/Hand,Days away from work only,1,257,"Sprain, strains",Hand tools not powered NEC
102901,Hand/Wrist,Days away AND restricted activity,1,13,"Fracture, chip",Boilers
102901,Back/Torso,Days away from work only,1,4,"Contusion, bruise","Caving rock, coal, ore, waste"
102901,Back/Torso,Days away from work only,1,4,"Sprain, strains",Bodily motion
102901,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
102901,Hand/Wrist,Days away from work only,1,11,"Sprain, strains","Mine floor, bottom, footwall"
102901,Hips/Legs/Feet,Days away from work only,1,4,"Sprain, strains","Metal NEC (pipe, wire, nails, manhole covers)"
102901,Hips/Legs/Feet/Legs/Feet,Days away from work only,1,7,"Contusion, bruise","Mine floor, bottom, footwall"
102901,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
102901,Hand/Wrist,Days away from work only,1,32,"Scratches, abrasions (superficial wounds)",Longwall supports (chocks and blocks)
102901,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
102901,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
102901,Finger(s),Days away from work only,1,72,"Fracture, chip",Belt conveyors
102901,Finger(s),"Permanent disability, partial or total",1,50,Amputation or enucleation,Metal covers and guards
102901,Unclassified/Multiple,No Injury,0,Nil Recorded,Unclassified,Unclassified
200024,Back/Torso,Days of restricted activity only,1,0,"Sprain, strains","Chains, ropes, cables (not conveyor)"
200024,Back/Torso,Days of restricted activity only,1,0,"Contusion, bruise","Highway ore carriers, other large trucks, buses"
200024,Hips/Legs/Feet/Legs/Feet,All other cases (inc. 1st aid),1,0,"Sprain, strains",Bodily motion
200024,Shoulder/Arm/Hand,"Injuries w/o death, days away, or restrict. act.",1,0,Burn or scald (heat),Electrical apparatus NEC
200024,Back/Torso,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Hips/Legs/Feet/Legs/Feet,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Metal covers and guards
200024,Hips/Legs/Feet/Legs/Feet,Days of restricted activity only,1,0,"Sprain, strains","Floor, walking surface"
200024,Neck/Head/Face,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Shoulder(s),Days away AND restricted activity,1,94,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Hips/Legs/Feet,Days of restricted activity only,1,0,"Contusion, bruise","Floor, walking surface"
200024,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Knife
200024,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Fracture, chip",Metal covers and guards
200024,Unclassified/Multiple,Employee natural caused fatal & nonfatal injury,1,0,Unclassified,"Miscellaneous, NEC"
200024,Shoulder/Arm/Hand,Days away AND restricted activity,1,83,"Sprain, strains",Metal covers and guards
200024,Hips/Legs/Feet/Legs/Feet,Days away AND restricted activity,1,18,"Sprain, strains",Ground
200024,Hand/Wrist,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Hips/Legs/Feet,Days away AND restricted activity,1,5,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
200024,Wrist,Days away AND restricted activity,1,28,"Fracture, chip",Ground
200024,Hand/Wrist,Days of restricted activity only,1,0,"Sprain, strains",Ground
200024,Back/Torso,"Injuries w/o death, days away, or restrict. act.",1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Neck/Head/Face/Head/Face,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Ground
200024,Finger(s),Days of restricted activity only,1,0,Unclassified,Hand tools not powered NEC
200024,Neck/Head/Face,"Occupational illness, (NOT 1-6)",1,0,Dermatitis,"Apparel NEC, Ring"
200024,Back/Torso,Days of restricted activity only,1,0,"Sprain, strains",Surface mining machines
200024,Hand/Wrist,Days of restricted activity only,1,0,"Sprain, strains",Ground
